humanGene	mouseGene
RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	Gm11478 /// Rpl13a /// Zfp526
RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	Gm11478 /// Rpl13a /// Zfp526
ZNF526	Gm11478 /// Rpl13a /// Zfp526
SFXN2	Sfxn2
CD300A	Cd300a
TFB1M	Tfb1m
HEPACAM2	Hepacam2
SEPSECS	Sepsecs
ZC3H3	Zc3h3
TAOK3	Taok3
CNOT3	Cnot3
NAV2	Nav2
SDHC	Sdhc
MRPL22	Mrpl22
CCNB1IP1	Ccnb1ip1
THUMPD1	Thumpd1
SCRN2	Scrn2
TRAPPC1	Trappc1
MFSD4	Mfsd4
ZNF703	Zfp703
OSBPL11	Osbpl11
CACHD1	Cachd1
PIGP	Pigp
TLN1	Tln1
RPL29	Gm10913 /// Gm12508 /// Gm8210 /// LOC100503055 /// LOC100862587 /// Rpl29
EXOC8	Exoc8
HES6	Hes6
KALRN	Kalrn
C10orf118	A630007B06Rik
C15orf27	AI118078
NSMCE1	Nsmce1
SLC6A17	Slc6a17
SLC22A9	Slc22a30
SHF	Shf
DNAJC5	Dnajc5
E2F8	E2f8
TCF7L1	Tcf7l1
TMEM71	Tmem71
KANSL1L	Kansl1l
HIRA	Hira
FRMD5	Frmd5
TLE2	Tle2
HTRA2	Htra2
CYB5D1	Cyb5d1
AURKAPS1 /// RAB3GAP2	Rab3gap2
RNF207	Rnf207
OAZ1	Oaz1
DSTYK	Dstyk
MYO9A	Myo9a
KAT6A	Kat6a
PTRH1	Ptrh1
TMEM243	Tmem243
HMBOX1	Hmbox1
UBXN1	Ubxn1
CHD4	Chd4
C2CD2	C2cd2
C11orf31	2700094K13Rik
COQ3	Coq3
GUCY2C	Gucy2c
ZBTB12	Zbtb12
GANC	Ganc
C3orf14	3830406C13Rik
NRK	Nrk
IPO4	Ipo4
ARPC5L	Arpc5l
KDELC1	Kdelc1
TRMT1	Trmt1
ARL4C	Arl4c
H1FX	H1fx
KAZALD1	Kazald1
PSMD10	Psmd10
RPS14	LOC101056544 /// Rps14
RTTN	Rttn
CEP95	Cep95
LOC100507577 /// LONP2	Lonp2
LONP2	Lonp2
LTBP4	Ltbp4
FAM86A	Fam86
RUNDC3A	Rundc3a
ALDH9A1	Aldh9a1
RPL18	Rpl18
SNAPC2	Snapc2
PPP1R14B	Ppp1r14b
HBG1 /// HBG2	Hbb-y
EIF2D	Eif2d
NREP	Nrep
UBALD2	Ubald2
HADH	Hadh
RPS8	Gm15501 /// LOC101055915 /// LOC101056563 /// Rps8
RPS8 /// SNORD38B /// SNORD55	Gm15501 /// LOC101055915 /// LOC101056563 /// Rps8
FAM13C	Fam13c
C7orf55-LUC7L2 /// LUC7L2	LOC100861853 /// Luc7l2
LUC7L2	LOC100861853 /// Luc7l2
ARHGEF40	Arhgef40
SOX11	Sox11
WNT5A	Wnt5a
RPL9	Gm5451 /// Rpl9
NDUFB9	Ndufb9
TRIM62	Trim62
MNF1	Mnf1
KCTD11	Kctd11
HK1	Gm10166 /// Gm10294 /// Gm10362 /// Gm6133 /// Hk1 /// LOC101056140 /// Rpl17
RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C	Gm10166 /// Gm10294 /// Gm10362 /// Gm6133 /// Hk1 /// LOC101056140 /// Rpl17
C18orf32 /// RPL17 /// RPL17-C18orf32	Gm10166 /// Gm10294 /// Gm10362 /// Gm6133 /// Hk1 /// LOC101056140 /// Rpl17
CCDC71L	Ccdc71l
PKN1	Pkn1 /// Ptger1
PTGER1	Pkn1 /// Ptger1
DOC2A	Doc2a
CHERP	Cherp
XAB2	Xab2
GRWD1	Grwd1
UAP1L1	Uap1l1
INTS9	Ints9
ZUFSP	Zufsp
RNF166	Rnf166
RASAL2	Rasal2
CACNB4	Cacnb4
HMBS	Hmbs /// LOC101055725
ACO2	Aco2
STIM1	Stim1
WIPF1	Wipf1
TSSC1	Tssc1
NSMF	Nsmf
TMEM179B	Tmem179b
EMILIN3	Emilin3
LOC101059993 /// RBM14 /// RBM4	Rbm14
RBM14	Rbm14
LOC101059993 /// RBM14	Rbm14
CNOT2	Cnot2
SLC12A6	Slc12a6
SOWAHA	Sowaha
DGKQ	Dgkq
USP39	Usp39
TSTD2	Tstd2
TMOD1 /// TSTD2	Tstd2
RNPS1	Rnps1
SFTPB	Sftpb
TACR3	Tacr3
GBA /// GBAP1	Gba
PHTF2	Phtf2
VPS52	Vps52
AKAP9	Akap9
ZBED3	Zbed3
PIM3	Pim3
IGF2BP2	Igf2bp2
ZC3H12C	Zc3h12c
SNX30	Snx30
AKR1B1	Akr1b3 /// Gm6644
TMX1	Tmx1
C9orf169	2310002J15Rik
ARPC2	Arpc2
PCOLCE	Pcolce
EIF3M	Eif3m
MAPK10	Mapk10
SEPT10	Sept10
CCDC88A	Ccdc88a
NMD3	Nmd3
D2HGDH	D2hgdh
DENND6A	Dennd6a
CLCF1	Clcf1
CTNNA1	Ctnna1
IMPAD1	Impad1
CHD8	Chd8
DVL1	Dvl1
ADRB2	Adrb2
F2R	F2r
HMGB2	Hmgb2
XPA	Xpa
CELA3B	Cela3b /// LOC100862548
LRRK1	Lrrk1
CKAP5	Ckap5
ATP6V1G2-DDX39B /// DDX39B /// SNORD84	Ddx39b
POLRMT	Polrmt
SLC52A2	Slc52a2
ACVR2A	Acvr2a
STX1A	Stx1a
AGAP1	Agap1
CREB3L2	Creb3l2
SRA1	Sra1
SLC45A2	Slc45a2
PNLIPRP2	Pnliprp2
TMX2	Tmx2
P4HB	P4hb
UNC13A	Unc13a
MCOLN3	Mcoln3
CCDC101	Ccdc101
RPS8	Gm15501 /// LOC101055915 /// Rps8
RPS8 /// SNORD38B /// SNORD55	Gm15501 /// LOC101055915 /// Rps8
ZFP36L2	Zfp36l2
RHOA	Rhoa
LSG1	Lsg1
THOC2	Thoc2
PPIB	Ppib
DTNB	Dtnb
C16orf89	AU021092
BACH2	Bach2
TTC13	Ttc13
ALKBH5	Alkbh5
RAB21	Rab21
LRRTM1	Lrrtm1
LIN28A	Lin28a
SLC4A1AP	Slc4a1ap
CPEB3	Cpeb3
DDX17	Ddx17
NAA11	Naa11
MORF4L1	Gm6747 /// Morf4l1
SLBP	Slbp
IL10RA	Il10ra
HBG1 /// HBG2	Hbb-bh1
ADPGK	Adpgk
EIF5A	Eif5a
HEXB	Hexb
SRCAP	Srcap
LOC100862671 /// SRCAP	Srcap
CLDN1	Cldn1
GRIN1	Grin1
SEPT7	Sept7
AP1S2	Ap1s2
HIST1H2AK	Hist1h2ab /// Hist1h2ac /// Hist1h2ad /// Hist1h2ae /// Hist1h2ag /// Hist1h2ah /// Hist1h2ai /// Hist1h2an /// Hist1h2ao /// Hist1h2ap
HIST1H2AG /// HIST1H2AH /// HIST1H2AI /// HIST1H2AK /// HIST1H2AL /// HIST1H2AM	Hist1h2ab /// Hist1h2ac /// Hist1h2ad /// Hist1h2ae /// Hist1h2ag /// Hist1h2ah /// Hist1h2ai /// Hist1h2an /// Hist1h2ao /// Hist1h2ap
HIST1H2AG /// HIST1H2AH /// HIST1H2AI /// HIST1H2AJ /// HIST1H2AK /// HIST1H2AL /// HIST1H2AM /// HIST1H3F	Hist1h2ab /// Hist1h2ac /// Hist1h2ad /// Hist1h2ae /// Hist1h2ag /// Hist1h2ah /// Hist1h2ai /// Hist1h2an /// Hist1h2ao /// Hist1h2ap
HIST1H2AM	Hist1h2ab /// Hist1h2ac /// Hist1h2ad /// Hist1h2ae /// Hist1h2ag /// Hist1h2ah /// Hist1h2ai /// Hist1h2an /// Hist1h2ao /// Hist1h2ap
IPPK	Ippk
EEA1	Eea1
NF1	Nf1
RBM5	Rbm5
PHF3	Phf3
RPL30	Gm5481 /// Gm6109 /// Gm6570 /// Gm7429 /// Rpl30
ANKRD54	Ankrd54
H2AFZ	H2afz
DTYMK	Dtymk
RAB20	Rab20
SLC9A3R1	Slc9a3r1
VIM	Vim
IRAK1	Irak1
GPAA1	Gpaa1
ASB6	Asb6
ANKEF1	Ankef1
SMIM19	Smim19
FAM109B	Fam109b
FAM126B	Fam126b
FAM178A	Fam178a
RPS6KA4	Rps6ka4
CSNK1G1	Csnk1g1
IKZF4	Ikzf4
CWC22	Cwc22
OTUD7A	Otud7a
SUMO1	Sumo1
FDFT1	Fdft1
TOP3B	Top3b
HSD17B10	Hsd17b10
RAMP2	Malat1 /// Ramp2
MED16	Med16
LRRC20	Lrrc20
RILPL1 /// SNRNP35	Rilpl1
RILPL1	Rilpl1
CLEC10A	Mgl2
PRAMEF1 /// PRAMEF2	Gm13102 /// Pramel4
MCEE	Mcee
THYN1	Thyn1
EDF1	Edf1 /// Gm11964
RNU86 /// RPL3 /// SNORD83B	Gm12816 /// Gm5879 /// Rpl3
RPL3	Gm12816 /// Gm5879 /// Rpl3
NEUROG1	Neurog1
MRPS24 /// URGCP-MRPS24	Mrps24
BTBD10	Btbd10
CRYZ	Cryz
GRN	Grn
LASP1	Lasp1
FAM227B	Fam227b
KIAA2013	2510039O18Rik
TIMM17B	Timm17b
PTP4A1	Gm13363 /// LOC100044742 /// Ptp4a1
DCAF12	Dcaf12
SLC4A7	Slc4a7
PKP4	Pkp4
ZMYM6	Gm12942 /// Zmym6
ZMYM6 /// ZMYM6NB	Gm12942 /// Zmym6
HTR1A	Htr1a
DENND2D	Dennd2d
OSBPL6	Osbpl6
ADI1	Adi1
CNTN4	Cntn4
DNA2	Dna2
SLC20A1	Slc20a1
DDX54	Ddx54
NINJ1	Ninj1
SEMA4A	Sema4a
FIGF /// PIR-FIGF	Figf
BLMH	Blmh
SPINT2	Spint2
PSMB4	Psmb4
ATF4	Atf4
SPRR2G	Sprr2a1 /// Sprr2a2 /// Sprr2a3
FHDC1	Fhdc1
PHACTR1	Phactr1
AMIGO3 /// GMPPB	Gmppb
HAUS2	Haus2
CENPE	Cenpe
ADCYAP1R1	Adcyap1r1
DPH5	Dph5
MARK4	Mark4
CCDC84	Ccdc84
NYNRIN	Nynrin
POLR3F	Polr3f
AHI1	Ahi1
TSC22D1	Gm19597 /// Tsc22d1
CWF19L1	Cwf19l1
PFKL	Pfkl
PECR	Pecr
C6orf106	D17Wsu92e
MAVS	Mavs
COPS5	Cops5
PRELID1	LOC100046650 /// Prelid1
APMAP	Apmap
MPP6	Mpp6
LCORL	Lcorl
MAP4K1	Map4k1
DDIT4L	Ddit4l
SF3B5	Sf3b5
PPP2R4	Ppp2r4
BCAR1	Bcar1
SLC25A39	Slc25a39
MORF4L2	LOC100505064 /// Morf4l2
TKT	Tkt
RPL37A	Mir682 /// Rpl37a
TMED9	Tmed9
CAPZA1	Capza1
ATG12	Atg12
ARFGAP2	Arfgap2
HMGB1	Gm21596 /// Gm2710 /// Gm6115 /// Hmgb1 /// LOC637733
AGBL5	Agbl5
LCT	Lct
UHRF1BP1	Uhrf1bp1
MYRF	Myrf
TBX3	Tbx3
ZNF865	Zfp865
SLC9B2	Slc9b2
TTC39B	Ttc39b
TSKU	Tsku
HINFP	Hinfp
BACH1	Bach1
BACH1 /// GRIK1-AS2	Bach1
BACH1 /// GRIK1-AS2 /// LINC00189	Bach1
SLCO5A1	Slco5a1
ZNF771	Zfp771
ZNF518B	Zfp518b
BRWD3	Brwd3
ARHGAP29	Arhgap29
DPF3	Dpf3
WDR75	Wdr75
HABP2	Habp2
ZC2HC1C	Zc2hc1c
IRS2	Irs2
DOCK9	Dock9
SSTR5	Sstr5
GLI2	Gli2
FANCC	Fancc
ZBTB11	Gm9385 /// Rpl24 /// Zbtb11
RPL24	Gm9385 /// Rpl24 /// Zbtb11
FANCM	Fancm
MAF	Maf
ZFYVE16	Zfyve16
EGFL8 /// PPT2	Egfl8
EGFL8 /// PPT2 /// PPT2-EGFL8	Egfl8
ZNF398	Zfp398
MCM9	Mcm9
GAPDH	Gapdh /// Gm10481 /// Gm20899 /// LOC100048117 /// LOC101056341
CDCA3	Cdca3
SASH1	Sash1
UGGT1	LOC100044322 /// Uggt1
VPS13C	Vps13c
USP24	Usp24
SASS6	Sass6
FAM46C	Fam46c
CHD7	Chd7
TBC1D24	Tbc1d24
B4GALT3	B4galt3
ING4	Ing4
FNDC7	Fndc7
MIPOL1	Mipol1
SEMA6D	Sema6d
SLC25A48	Slc25a48
TM4SF1	Tm4sf1
RLN1	Rln1
COLQ	Colq
ALDH6A1	Aldh6a1
PRM2	Prm2
NECAP1	Necap1
COX7C	Cox7c /// LOC100048613
STMN1	Gm11223 /// Stmn1
MIR3917 /// STMN1	Gm11223 /// Stmn1
UBA1	Uba1
CTSD	Ctsd
GDF9	Gdf9
WBP2	Wbp2
SNORA29 /// TCP1	Tcp1
FAM60A	Fam60a
CTSA	Ctsa
ARPC5	Arpc5
MFN2	Mfn2
PALD1	Pald1
MLC1	Mlc1
RRP7A	Rrp7a
RRP7A /// RRP7B	Rrp7a
WWP2	Wwp2
NDRG2	Ndrg2
TFF1	Tff1
GNPDA1	Gnpda1
CASP2	Casp2
IFNGR1	Ifngr1
KRT18	Krt18
SIAH2	Siah2
CUL1	Cul1
USMG5	Usmg5
KLF15	Klf15
POLD1	Pold1
UCP2	Ucp2
PLK1	Plk1
PRPS1	Prps1 /// Prps1l3
CDIP1	Cdip1
TAF5L	Taf5l
MAT2B	Mat2b
NDUFB8	Ndufb8
TCN2	Tcn2
SFRP2	Sfrp2
ATP5L	Atp5l
PSMA2	Psma2
C7orf25 /// PSMA2	Psma2
SLC22A17	Slc22a17
ATP6V0E2	Atp6v0e2
ANXA1	Anxa1
CTRB1 /// CTRB2	Ctrb1
CTRB2	Ctrb1
TFAM	Tfam
GRB7	Grb7
USP10	Usp10
HMGB1	4932431P20Rik /// Gm21596 /// Gm6115 /// Hmgb1 /// LOC637733
HMOX1	Hmox1
LYPLA1	Lypla1
HDAC1	Hdac1
BCL7B	Bcl7b
CLMP	Clmp
EEF1B2 /// SNORA41	Eef1b2
SLC29A2	Slc29a2
UCHL1	Uchl1
CDH1	Cdh1
PSMB2	Psmb2
CNDP2	Cndp2
STX5	Stx5a
DDX21	Ddx21
GSS	Gss
C1QBP	C1qbp
TSPAN4	Tspan4
POLD2	Pold2
ARPC3	Arpc3
SYP	Syp
CELA2A /// CELA2B	Cela2a
PLRG1	Plrg1
POLR1D	Polr1d
CRMP1	Crmp1
UQCR11	Uqcr11
TMEM54 /// UQCR11	Uqcr11
MED10	Med10
TNK2	Tnk2
LOC100505828 /// MGST3	Mgst3
MGST3	Mgst3
GPNMB	Gpnmb
RAB6A /// RAB6C /// WTH3DI	Rab6a
RAB6A	Rab6a
PSMG1	Psmg1
ICK	Ick
USP5	Usp5
PCSK2	Pcsk2
CDK1	Cdk1
PYCR2	Pycr2
CMTM3	Cmtm3
TMEM128	Tmem128
PLIN2	Plin2
LOC100509484 /// PLIN2	Plin2
AKR1B1	Akr1b3
SMOC1	Smoc1
COX4I1	Cox4i1
PPP1R15A	Ppp1r15a
CRABP1	Crabp1
ACTN2	Actn2
SH3BP2	Sh3bp2
ADPRH	Adprh
NBR1	Nbr1
TOMM34	Tomm34
CFL1	Cfl1
ASL	Asl
CORO1B	Coro1b
G6PD	G6pdx
PRSS16	Prss16
SNRPG	Snrpg
DNAJC7	Dnajc7
CLEC3B /// EXOSC7	Exosc7
EXOSC7	Exosc7
MYLPF	Mylpf
MRPL18	Mrpl18
SLPI	Slpi
POT1	Pot1a
LGALS3BP	Lgals3bp
EHHADH	Ehhadh
SLC15A4	Slc15a4
SPTSSA	Sptssa
DHRS3	Dhrs3
RAB9A	Rab9
CLDN7	Cldn7
MYL2	Myl2
TMEM131	Tmem131
GJB6	Gjb6
LARS	Lars
HPS1	Hps1
WFS1	Wfs1
TSC22D4	Tsc22d4
C14orf169	2410016O06Rik
RAD1	Rad1
MGP	Mgp
DCAF11	Dcaf11
POP4	Pop4
FBXL12	Fbxl12
TMED4	Tmed4
NDUFA6	Ndufa6
NBL1	Nbl1
MINOS1-NBL1 /// NBL1	Nbl1
GYG1	Gyg
RNF103	Rnf103
MED15	Med15
IRF1	Irf1
PSMA3	Psma3
ACP6	Acp6
DEAF1	Deaf1
VPS28	Vps28
CHKB	Chkb
RIPK3	Ripk3
AK2	Ak2
HSD3B2	Hsd3b1
CLN8	Cln8
KRT71	Krt71
THOC7	Thoc7
C1orf43	4933434E20Rik /// Gm7664
YKT6	Ykt6
NIPSNAP1	Nipsnap1
KCNAB1	Kcnab1
FBP1	Fbp1
VARS	Vars
OLFML3	Olfml3
NAP1L4	Nap1l4
CHST12	Chst12
PSMD3	Psmd3
NIP7	Nip7
GGT1 /// GGT2 /// GGT3P /// GGT8P /// LOC101060682	Ggt1
GGT1 /// GGT2 /// GGTLC2	Ggt1
GGT1	Ggt1
GGT1 /// GGT2 /// GGT3P /// GGTLC2 /// LOC101060682	Ggt1
MRPS5	Mrps5
PAFAH2	Pafah2
ADCK4	Adck4
ECH1	Ech1
PSMD12	Psmd12
PAIP2	Paip2
TSTA3	Tsta3
ERCC3	Ercc3
EPHX2	Ephx2
SLC16A7	Slc16a7
SERPINA6	Serpina6
EFHD1	Efhd1
TRAF3IP2	Traf3ip2
PTPRCAP	Ptprcap
COX5B	Cox5b
TIMM22	Timm22
TEAD2	Tead2
DCLRE1B	Dclre1b
BRD7	Brd7
SARS2	Sars2
PDCD10	Pdcd10
THBD	Thbd
GMPR	Gmpr
LMNB2	Lmnb2
TBCB	Tbcb
LSM3	Lsm3
ACY3	Acy3
BCCIP	Bccip
SLMO2	Slmo2
DPAGT1	Dpagt1
LBP	Lbp
MYH6 /// MYH7	Myh7
MYH7	Myh7
MYH6 /// MYH7	Myh6 /// Myh7
MYH7	Myh6 /// Myh7
MYH6	Myh6 /// Myh7
RPAP3	Rpap3
PLA2G4A	Pla2g4a
FLOT1	Flot1
NCF2	Ncf2
UPP1	Upp1
TMEM115	Tmem115
MLEC	Mlec
NME6	Nme6
IL7R	Il7r
CTNNBL1	Ctnnbl1
USB1	Usb1
RSRC1	Rsrc1
TBC1D10A	Tbc1d10a
COL6A1	Col6a1
CTSS	Ctss
CRTAP /// LOC100653071	Crtap
CRTAP	Crtap
WISP1	Wisp1
MMP17	Mmp17
PYGM	Pygm
TST	Tst
SFN	Sfn
ECM1	Ecm1
CCS	Ccs
CD53	Cd53
MVP	Mvp
DHCR7	Dhcr7
FCGR2A /// FCGR2C	Fcgr3
FCGR2A	Fcgr3
SMPD1	Smpd1
LSM4	Lsm4
GOLGA2	Golga2
CDK5RAP1	Cdk5rap1
PBK	Pbk
SCG3	Scg3
HPS4	Hps4
PSMB10	Psmb10
PRPF31	Prpf31
SMC2	Smc2
MYOZ1	Myoz1
MED25	Med25
MTBP	Mtbp
PCBP1	Pcbp1
SSNA1	Ssna1
PEF1	Pef1
MSL3	Msl3
MAN2A1	Man2a1
ENPEP	Enpep
POLE	Pole
NUDT5	Nudt5
IFT88	Ift88
EED	Eed
LRP1	Lrp1
CACNB3	Cacnb3
DNAJB2	Dnajb2
SART1	Sart1
ARHGDIG	Arhgdig
PLCB3	Plcb3
UBE2E3	Ube2e3
RNF25	Rnf25
EMC8	Emc8
FAM118A	Fam118a
HYAL2	Hyal2
SERPINA1	Serpina1c
KCNK1	Kcnk1
UBQLN4	Ubqln4
GLTPD1	Gltpd1
HEPH	Heph
HNRNPH2 /// RPL36A-HNRNPH2	Dnaaf2 /// Rpl36a /// Rpl36al
RPL36A /// RPL36A-HNRNPH2	Dnaaf2 /// Rpl36a /// Rpl36al
DNAAF2	Dnaaf2 /// Rpl36a /// Rpl36al
RPL36A	Dnaaf2 /// Rpl36a /// Rpl36al
MRPL54	Mrpl54
G0S2	G0s2
KRIT1	Krit1
NAA38	Naa38
ZBTB22	Zbtb22
TDP2	Tdp2
TAF13	Taf13
CXCR4	Cxcr4
MCM3AP	Mcm3ap
CHM	Chm
STAT4	Stat4
COG6	BC094435 /// Ccrn4l /// Cog6 /// Sgip1
CCRN4L	BC094435 /// Ccrn4l /// Cog6 /// Sgip1
SGIP1	BC094435 /// Ccrn4l /// Cog6 /// Sgip1
HBZ	Hba-x
GCDH	Gcdh
LRRC40	Lrrc40
RDH16	Rdh7
CISH	Cish
PARG	Parg
TLE6	Tle6
SEPT4	Sept4
CPA3	Cpa3
HPRT1	Hprt
RANGRF	Rangrf
SLC3A1	Slc3a1
SNAI1	Snai1
GALNS	Galns
NBN	Nbn
CA2	Car2
RBP1	Rbp1
COL15A1	Col15a1
S100A9	S100a9
PML	Pml
NRBF2	Nrbf2
COPG2	Copg2
RAD17	Rad17
GJB1	Gjb1
MOG	Mog
SLC35B1	Slc35b1
STOML2	Stoml2
SRSF4	Srsf4
CIZ1	Ciz1
TXNDC11	Txndc11
SLC7A9	Slc7a9
TAF10	Taf10
PLBD1	Plbd1
MOAP1	AK010878 /// Gm20604 /// Moap1
C14orf142	AK010878 /// Gm20604 /// Moap1
CD200	Cd200
SEMA6B	Sema6b
CYP2F1	Cyp2f2
EPS8L3	Eps8l3
MRPS12	Mrps12
NUFIP1	Nufip1
CYP11A1	Cyp11a1
HRH3	Hrh3
NME1-NME2 /// NME2	Nme2
CSE1L	Cse1l
GNE	Gne
MRPL2	Mrpl2
HPCAL1	Hpcal1
AADAC	Aadac
PTGIS	Ptgis
PSMB6	Psmb6
PDK2	Pdk2
DUSP1	Dusp1
ANGPT2	Angpt2
E2F6	E2f6
GPN2	Gpn2
VIL1	Vil1
KANK3	Kank3
TMUB1	Tmub1
CDO1	Cdo1
RPP25	Rpp25
RPL29	Gm10913 /// Gm11449 /// Gm12508 /// Gm13213 /// Gm8210 /// LOC100503055 /// LOC100862587 /// Rpl29
MRPL40	Mrpl40
RGN	Rgn
RASSF1	Rassf1
MSRA	Msra
ZDHHC12	Zdhhc12
REM2	Rem2
TRAF5	Traf5
ICAM2	Icam2
SENP3	Senp3
SENP3 /// SENP3-EIF4A1	Senp3
SCAND1	Scand1
MRPS16	Mrps16
LTBP1	Ltbp1
MAPK13	Mapk13
OCLN	Ocln
SH2B1	Sh2b1
ZHX1	Zhx1
EVC	Evc
DLX2	Dlx2
HP	Hp
HP /// HPR	Hp
LGMN	Lgmn
GTF2E2	Gtf2e2
GATA3	Gata3
KLF2	Klf2
NCOR2	Ncor2
AKR1B10	Akr1b8
CTNNA2	Ctnna2
PIGF	Pigf
TANGO2	Tango2
CPXM1	Cpxm1
TTC23	Ttc23
SEP15	Sep15
NME3	Mrps34 /// Nme3
MRPS34	Mrps34 /// Nme3
CDH16	Cdh16
ATP4B	Atp4b
C1QTNF1	C1qtnf1
ZNF524	Zfp524
MED30	Med30
CD302 /// LY75-CD302	Cd302
PRKRA	Prkra
TWIST2	Twist2
HOXA5	Hoxa5
KCNN2	Kcnn2
HDAC6	Hdac6
F13A1	F13a1
C5orf45	3010026O09Rik
F2RL1	F2rl1
KRT16	Krt16
PCDHB16	Pcdhb17
STX12	Stx12
SLC35B3	Slc35b3
RPA3	Rpa3
USP25	Usp25
GNG11	Gng11
PLLP	Pllp
KIF3C	Kif3c
C1orf131	2810004N23Rik
SLC50A1	Slc50a1
IL1R1	Il1r1
BLM	Blm
CADPS	Cadps
STARD10	Stard10
NFYC	Nfyc
S100G	S100g
NIPSNAP3B	Nipsnap3b
FTSJ2	Ftsj2
REN	LOC100044656 /// Ren1 /// Ren2
NGEF	Ngef
BLOC1S5 /// EEF1E1-MUTED	Bloc1s5
GHRL	Ghrl
KLK6	Klk6
CDRT4 /// TVP23C-CDRT4	Cdrt4
DUSP22	Dusp22
DUSP22 /// LOC100653247	Dusp22
DNASE2	Dnase2a
ACADL	Acadl
PF4	Pf4
ROM1	Rom1
LPO	Lpo
C21orf33	D10Jhu81e /// LOC100046684
PHLDA3	Phlda3
VTI1B	Vti1b
MRPL46	Mrpl46
SLC16A3	Slc16a3
BTG3	Btg3 /// Gm7334
EEF2K /// LOC101060570	Eef2k
EEF2K	Eef2k
LACTB	Lactb
ZP2	Zp2
LOC128322 /// NUTF2	Gm10349 /// Gm9386 /// Nutf2
PFN1	Pfn1
RPP21 /// TRIM39 /// TRIM39-RPP21	Rpp21
HEXA	Hexa
IFIT3	Ifit3
IFNAR1	Ifnar1
RHOU	Rhou
SYN2	Syn2
CITED1	Cited1
KLKB1	Klkb1
HSD11B1	Hsd11b1
TRIP6	Trip6
NAGA	Naga
EEF1E1	Eef1e1
JOSD2	Josd2
HACL1	Hacl1
TLR1	Tlr1
PPARA	Ppara
KIAA1147	E330009J07Rik
KEL	Kel
GLI1	Gli1
KHK	Khk
SLC2A2	Slc2a2
MYL7	Myl7
FLNC	Flnc
TEX40	Tex40
EXD2	Exd2
ST3GAL6	St3gal6
HDAC2	Hdac2
PHF10	Phf10
FBP2	Fbp2
CLDN8	Cldn8
PPM1D	Ppm1d
CTF1	Ctf1
GJC1	Gjc1
CCDC127	Ccdc127
TXNRD2	Txnrd2
POLI	Poli
PARD6A	Pard6a
TEX101	Tex101
UPK3A	Upk3a
SH2D2A	Sh2d2a
GPX3	Gpx3
FDX1	Fdx1
RHOB	Rhob
SLC27A5	Slc27a5
GPBP1L1	Gpbp1l1
JUND	Jund
DBT	Dbt
UBXN2B	Ubxn2b
ITIH3	Itih3
TNFAIP8L1	Tnfaip8l1
ZFP90	Zfp90
SELPLG	Selplg
CD1D	Cd1d1
SOX18	Sox18
EPX	Epx
OSTC	Ostc
CAV1	Cav1
NOTCH4	Notch4
CHST1	Chst1
PHTF1	Phtf1
KRBA1	Krba1
CDK18	Cdk18
CDKN2B	Cdkn2b
MMP12	Mmp12
POLR3G	Polr3g
LY9	Ly9
KCNK2	Kcnk2
GNB3	Gnb3
NPR1	Npr1
EDN2	Edn2
POP7	Pop7
SIGIRR	Sigirr
CD68 /// SNORA67	Cd68
S100A14	S100a14
EPB41L4A	Epb4.1l4a
AKAP2 /// PALM2 /// PALM2-AKAP2	Akap2
AKAP2 /// PALM2-AKAP2	Akap2
PIWIL2	Piwil2
TTK	Ttk
MPP2	Mpp2
ART4	Art4
GPR65	Gpr65
CCNA1	Ccna1
PDC	Pdc
RETN	Retn
PGLYRP1	Pglyrp1
MIDN	Midn
SMIM12	Smim12
ATF7IP	Atf7ip
CD5L	Cd5l
RPS27A	Gm8430 /// Rps27a
ST3GAL5	St3gal5
MUC1	Muc1
SEMA4G	Sema4g
GJB5	Gjb5
OVOL2	Ovol2
SYPL2	Sypl2
KIF20A	Kif20a
PAPOLB	Papolb
ITGAE	Itgae
CASP8AP2	Casp8ap2
GIMAP1-GIMAP5 /// GIMAP5	Gimap3
EBI3	Ebi3
DNAJB8	Dnajb8
HIC1	Hic1
CH25H	Ch25h
CDKL2	Cdkl2
ZNF296	Zfp296
GATA1	Gata1
DLL3	Dll3
ALOXE3	Aloxe3
PPP1R17	Ppp1r17
KLHL1	Klhl1
HRG	Hrg
RPS19	Rps19
GRIN2C	Grin2c
ACTRT2	Actrt2
CLCN2	Clcn2
PRCC	Prcc
NDP	Ndp
SMC1B	Smc1b
SPP1	Spp1
RPL15	Gm10224 /// Gm4581 /// Gm6937 /// Rpl15
SYT11	Syt11
CASP1	Casp1
CARD16 /// CASP1	Casp1
MECP2	Mecp2
CYFIP2	Cyfip2
CCL19	Ccl19 /// Gm12407 /// Gm13309 /// Gm2023 /// Gm21104 /// Gm2457 /// Gm2564 /// LOC100043918 /// LOC100043921 /// LOC100861618
GPX2	Gpx2
ESM1	Esm1
NRTN	Nrtn
MAPK12	Mapk12
CST9L	Cst9
SRMS	Srms
GDF3	Gdf3
DPYSL5	Dpysl5
MRPS15	Mrps15
PDE1A	Pde1a
LRP5	Lrp5
ABCA2	Abca2
SESN3	Sesn3
HSF2	Hsf2
DBNDD1	Dbndd1
C6	C6
